Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
NEXA,Nexa Resources S.A.,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,1893872128,0.55,0.795,0.394,28.199999999999996,28.24,6.84,4.04,0.28,0,1.18,6235.0,8.02,0.31,13.22,18
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",Financial Services,Asset Management,asset-management,2416168192,23.4,0.03,0.03,17.9,100.0,4.93,4.96,0.0,0,7.56,0.0,475.16999999999996,0.27999999999999997,-2.01,18
INVA,"Innoviva, Inc.",Healthcare,Biotechnology,biotechnology,1488979584,3.38,16.007,14.654,19.3,72.36,4.78,9.33,0.75,0,0.0,0.0,81.19,12.809999999999999,23.12,18
IDR,"Idaho Strategic Resources, Inc.",Basic Materials,Gold,gold,542357248,10.93,12.768,12.276,99.0,69.69,24.16,43.42,0.03,0,0.0,239.8,43.33,8.469999999999999,15.45,18
HSHP,Himalaya Shipping Ltd.,Industrials,Marine Shipping,marine-shipping,742298048,5.17,0.953,0.743,52.7,78.82000000000001,24.99,0.0,0.52,0,8.44,0.0,20.28,3.47,10.95,18
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas E&P,oil-gas-e-p,1253676544,7.71,16.613,16.525,36.4,93.77,18.69,0.0,0.31,0,12.35,63.0,40.87,1.2,18.79,18
FTK,unknown,Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,0,0.0,1.78,1.461,70.3,24.68,36.0,51.21,0.0,0,0.0,420.0,12.97,17.66,27.0,18
VMET,Versamet Royalties Corporation,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,1111964032,20.12,33.759,32.846,593.9,67.36,33.03,0.0,-32.43,0,0.0,573.4,58.440000000000005,1.6500000000000001,8.69,18
EVER,"EverQuote, Inc.",Communication Services,Internet Content & Information,internet-content-information,919052736,1.22,3.33,3.218,24.6,97.65,8.5,9.28,0.02,0,0.0,35.9,15.160000000000002,21.78,41.72,18
DDL,Dingdong (Cayman) Limited,Consumer Defensive,Grocery Stores,grocery-stores,507044032,0.02,1.23,0.074,195.2,29.09,21.08,6.08,-0.01,0,0.0,2790.2999999999997,1.55,1.5699999999999998,21.3,18
