Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
WINA,Winmark Corporation,Consumer Cyclical,Specialty Retail,specialty-retail,1586765056,18.44,2.488,2.161,7.9,96.39,39.22,36.69,0.61,0,0.84,3.5000000000000004,48.4,11.87,-77.59,10
WING,Wingstop Inc.,Consumer Cyclical,Restaurants,restaurants,5550701568,7.97,3.263,2.652,8.6,48.68,32.12,33.55,3.74,0,0.62,4.7,25.01,15.52,-23.65,8
WIT,Wipro Limited,Technology,Information Technology Services,information-technology-services,23834157056,0.03,2.185,2.097,5.5,29.61,16.25,15.53,0.02,0,8.34,-7.199999999999999,14.59,3.89,15.86,12
WIX,Wix.com Ltd.,Technology,Software - Infrastructure,software-infrastructure,5083244544,2.55,1.19,1.098,13.900000000000002,68.07,99.06,10.92,0.7,0,0.0,0.0,2.54,11.76,-13.84,8
WK,Workiva Inc.,Technology,Software - Application,software-application,3457251328,3.91,1.567,1.444,19.5,78.47,0.0,18.12,0.68,0,0.0,0.0,-2.96,9.85,481.4,6
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,1270073600,0.03,1.057,0.726,-7.5,2.5700000000000003,0.0,9.34,0.04,0,3.33,0.0,-1.66,17.990000000000002,-47.29,2
WLDN,"Willdan Group, Inc.",Industrials,Engineering & Construction,engineering-construction,1148252160,1.68,1.556,1.509,20.6,37.52,22.24,15.9,0.84,0,0.0,132.1,7.71,7.82,17.24,14
WLFC,Willis Lease Finance Corporation,Industrials,Rental & Leasing Services,rental-leasing-services,1275223168,1.78,2.641,0.214,27.800000000000004,83.21,10.02,9.63,0.22,0,0.94,-45.9,15.89,60.6,19.77,16
WLK,Westlake Corporation,Basic Materials,Specialty Chemicals,specialty-chemicals,14506409984,1.3,2.244,1.6,-10.9,7.28,0.0,36.22,1.44,0,1.86,0.0,-13.5,15.3,-17.15,2
WLKP,Westlake Chemical Partners LP,Basic Materials,Chemicals,chemicals,791329920,0.68,2.797,2.735,11.4,29.82,16.27,11.15,0.42,0,8.3,-4.7,4.17,0.62,18.84,14
WLY,"John Wiley & Sons, Inc.",Communication Services,Publishing,publishing,1923111552,1.15,0.594,0.427,1.3,74.13,19.57,7.7,0.29,0,3.91,0.0,9.24,12.21,11.19,12
WLYB,"John Wiley & Sons, Inc.",Communication Services,Publishing,publishing,1903139328,1.14,0.594,0.427,1.3,74.13,19.36,0.0,0.29,0,3.89,0.0,9.24,0.7100000000000001,11.19,12
WM,"Waste Management, Inc.",Industrials,Waste Management,waste-management,96114917376,3.81,0.889,0.77,7.1,40.44,35.57,25.47,2.11,0,1.43,23.6,10.74,1.24,27.11,8
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,oil-gas-midstream,89723805696,7.58,0.531,0.297,8.7,62.12,34.32,28.02,2.62,0,2.86,50.8,22.13,1.31,20.5,8
WMG,Warner Music Group Corp.,Communication Services,Entertainment,entertainment,14181698560,2.06,0.7,0.493,10.4,45.87,47.63,15.42,1.0,0,2.83,-25.9,4.43,7.39,56.41,10
WMK,"Weis Markets, Inc.",Consumer Defensive,Grocery Stores,grocery-stores,1621265920,0.33,1.931,0.991,5.1,25.01,17.24,0.0,0.23,0,2.16,-3.0,1.89,10.59,7.6,12
WMS,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,building-products-equipment,10703242240,3.58,4.125,3.014,0.4,38.67,22.86,20.02,2.19,0,0.52,14.4,15.75,4.23,27.82,8
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,discount-stores,1004340051968,1.41,0.79,0.204,5.6000000000000005,24.93,46.14,38.32,1.0,0,0.79,-19.0,3.0700000000000003,1.09,,8
WNC,Wabash National Corporation,Industrials,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,331426112,0.21,1.386,0.541,-22.9,4.53,1.61,6.81,0.26,0,3.89,0.0,13.71,9.21,57.56,14
WNS,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
WOOF,"Petco Health and Wellness Company, Inc.",Consumer Cyclical,Specialty Retail,specialty-retail,1035512768,0.17,0.899,0.267,-2.4,38.67,0.0,13.67,0.18,0,0.0,0.0,0.15,16.85,-9.14,2
WOR,"Worthington Enterprises, Inc.",Industrials,Metal Fabrication,metal-fabrication,2331277568,1.86,3.259,2.072,19.5,27.87,223.52,11.83,1.08,0,1.62,-1.7999999999999998,8.459999999999999,2.3800000000000003,10.25,6
WOW,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,reit-diversified,16185190400,9.49,0.84,0.77,8.799999999999999,93.32,34.07,25.77,0.58,0,5.12,218.1,27.34,7.249999999999999,5.74,10
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,gold,64615043072,27.92,7.785,7.76,127.2,85.35000000000001,64.6,28.95,-1.11,0,0.45,532.5999999999999,63.580000000000005,0.0,7.29,16
WPP,WPP plc,Communication Services,Advertising Agencies,advertising-agencies,3388393216,0.25,0.888,0.888,-8.3,15.840000000000002,0.0,4.44,0.27,0,6.42,0.0,-1.59,1.88,15.6,2
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,26244261888,1.78,0.399,0.242,1.5,43.41,15.52,14.23,0.99,0,0.52,-21.8,12.1,6.88,18.34,12
WRBY,Warby Parker Inc.,Healthcare,Medical Instruments & Supplies,medical-instruments-supplies,2844461824,3.26,2.348,1.929,11.2,53.97,2323.0,34.65,1.33,0,0.0,0.0,0.19,9.76,0.45,6
WRD,WeRide Inc.,Technology,Software - Application,software-application,2300859904,4.5,8.394,7.418,144.2,32.99,0.0,-16.95,-1.33,0,0.0,0.0,0.0,3.67,-35.62,12
WRLD,World Acceptance Corporation,Financial Services,Credit Services,credit-services,688402944,1.2,21.655,20.937,1.9,67.77,17.59,12.73,0.38,0,0.0,0.0,7.46,62.42,20.42,12
WS,"Worthington Steel, Inc.",Basic Materials,Steel,steel,1633266176,0.5,1.796,0.927,18.0,12.76,13.01,10.6,0.36,0,1.96,48.0,3.83,4.66,10.31,14
WSBC,"WesBanco, Inc.",Financial Services,Banks - Regional,banks-regional,3210577664,3.55,0.0,0.0,61.0,0.0,14.99,8.12,1.39,0,4.58,15.6,24.68,2.06,5.73,10
WSBCP,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
WSC,WillScot Holdings Corporation,Industrials,Rental & Leasing Services,rental-leasing-services,3339613184,1.46,0.859,0.67,-6.1,52.8,0.0,14.07,1.55,0,1.49,0.0,-2.32,15.3,-6.19,2
WSFS,WSFS Financial Corporation,Financial Services,Banks - Regional,banks-regional,3414239744,3.36,0.0,0.0,2.3,0.0,12.27,9.78,3.28,0,1.08,23.8,28.26,3.68,10.18,10
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,specialty-retail,21345271808,2.7,1.427,0.541,4.6,46.31,19.71,19.53,1.38,0,1.47,4.8,14.3,8.19,52.52,12
WSO,"Watsco, Inc.",Industrials,Industrial Distribution,industrial-distribution,14870252544,2.05,4.116,2.131,-10.0,28.050000000000004,29.83,25.86,2.26,0,3.3,-26.0,6.859999999999999,11.26,17.87,8
WSR,Whitestone REIT,Real Estate,REIT - Retail,reit-retail,840752064,5.23,0.726,0.617,7.5,68.83,17.01,36.07,1.51,0,3.51,27.6,31.04,1.66,10.9,12
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,medical-instruments-supplies,16773084160,5.46,3.021,2.104,7.5,35.91,34.3,26.33,3.23,0,0.38,2.1,16.06,4.33,15.54,8
WT,"WisdomTree, Inc.",Financial Services,Asset Management,asset-management,2170983936,4.4,1.746,1.713,33.2,50.83,20.44,12.65,1.44,0,0.79,58.1,22.1,28.78,26.38,16
WTBA,"West Bancorporation, Inc.",Financial Services,Banks - Regional,banks-regional,391077984,4.11,0.0,0.0,17.4,0.0,12.02,8.1,3.39,0,4.28,3.3000000000000003,34.19,1.7000000000000002,12.24,10
WTF,Waton Financial Limited,Financial Services,Asset Management,asset-management,144712416,14.42,1.539,1.507,100.1,56.00000000000001,0.0,0.0,-0.01,0,0.0,0.0,-191.2,2.51,-93.73,12
WTFC,Wintrust Financial Corporation,Financial Services,Banks - Regional,banks-regional,8727000064,3.32,0.0,0.0,10.5,0.0,11.38,9.67,2.97,0,1.56,19.4,31.35,3.4000000000000004,12.06,10
WTFCM,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
WTFCP,unknown,unknown,unknown,unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
WTM,"White Mountains Insurance Group, Ltd.",Financial Services,Insurance - Property & Casualty,insurance-property-casualty,5476862464,1.47,1.402,1.085,348.0,62.61,5.14,24.54,-1.36,0,0.05,0.0,29.62,3.15,20.39,22
WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,utilities-regulated-water,11716830208,4.73,0.798,0.548,15.7,57.60999999999999,18.81,17.0,1.69,0,3.34,-30.0,24.91,3.17,8.99,14
WTS,"Watts Water Technologies, Inc.",Industrials,Specialty Industrial Machinery,specialty-industrial-machinery,10004978688,4.1,2.51,1.367,15.7,49.46,29.54,23.52,1.75,0,0.69,23.8,13.98,3.76,16.81,12
WTTR,"Select Water Solutions, Inc.",Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,1880412928,1.34,1.57,1.25,-0.7000000000000001,26.78,66.29,25.48,1.35,0,2.02,0.0,1.51,4.71,2.63,6
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,insurance-brokers,27554537472,2.84,1.205,0.436,-3.3000000000000003,41.58,17.71,12.84,2.93,0,1.34,-38.2,16.53,2.53,20.12,10
